INSERT INTO performances VALUES ('PF000001', '2022-08-20', '10:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000002', '2022-08-20', '10:00', 'GP001', 'SC001');
INSERT INTO performances VALUES ('PF000003', '2022-08-20', '10:00', 'GP005', 'SC001');
INSERT INTO performances VALUES ('PF000004', '2022-08-20', '10:00', 'GP007', 'SC002');
INSERT INTO performances VALUES ('PF000005', '2022-08-20', '10:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000006', '2022-08-20', '10:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000007', '2022-08-20', '10:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000008', '2022-08-20', '11:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000009', '2022-08-20', '11:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000010', '2022-08-20', '11:00', 'GP004', 'SC001');
INSERT INTO performances VALUES ('PF000011', '2022-08-20', '11:00', 'GP001', 'SC002');
INSERT INTO performances VALUES ('PF000012', '2022-08-20', '11:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000013', '2022-08-20', '11:00', 'GP002', 'SC002');
INSERT INTO performances VALUES ('PF000014', '2022-08-20', '11:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000015', '2022-08-20', '11:00', 'GP007', 'SC003');
INSERT INTO performances VALUES ('PF000016', '2022-08-20', '11:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000017', '2022-08-20', '12:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000018', '2022-08-20', '12:00', 'GP008', 'SC001');
INSERT INTO performances VALUES ('PF000019', '2022-08-20', '12:00', 'GP004', 'SC001');
INSERT INTO performances VALUES ('PF000020', '2022-08-20', '12:00', 'GP002', 'SC002');
INSERT INTO performances VALUES ('PF000021', '2022-08-20', '12:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000022', '2022-08-20', '12:00', 'GP001', 'SC003');
INSERT INTO performances VALUES ('PF000023', '2022-08-20', '12:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000024', '2022-08-20', '12:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000025', '2022-08-20', '12:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000026', '2022-08-20', '12:00', 'GP006', 'SC004');
INSERT INTO performances VALUES ('PF000027', '2022-08-20', '12:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000028', '2022-08-20', '15:00', 'GP004', 'SC001');
INSERT INTO performances VALUES ('PF000029', '2022-08-20', '15:00', 'GP001', 'SC002');
INSERT INTO performances VALUES ('PF000030', '2022-08-20', '15:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000031', '2022-08-20', '15:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000032', '2022-08-20', '15:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000033', '2022-08-20', '15:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000034', '2022-08-20', '15:00', 'GP005', 'SC004');
INSERT INTO performances VALUES ('PF000035', '2022-08-20', '16:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000036', '2022-08-20', '16:00', 'GP008', 'SC002');
INSERT INTO performances VALUES ('PF000037', '2022-08-20', '16:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000038', '2022-08-20', '16:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000039', '2022-08-20', '16:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000040', '2022-08-20', '16:00', 'GP006', 'SC003');
INSERT INTO performances VALUES ('PF000041', '2022-08-20', '16:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000042', '2022-08-20', '16:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000043', '2022-08-20', '16:00', 'GP008', 'SC004');
INSERT INTO performances VALUES ('PF000044', '2022-08-20', '16:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000045', '2022-08-20', '17:00', 'GP005', 'SC001');
INSERT INTO performances VALUES ('PF000046', '2022-08-20', '17:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000047', '2022-08-20', '17:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000048', '2022-08-20', '17:00', 'GP005', 'SC003');
INSERT INTO performances VALUES ('PF000049', '2022-08-20', '17:00', 'GP007', 'SC003');
INSERT INTO performances VALUES ('PF000050', '2022-08-20', '17:00', 'GP002', 'SC003');
INSERT INTO performances VALUES ('PF000051', '2022-08-20', '17:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000052', '2022-08-20', '17:00', 'GP006', 'SC004');
INSERT INTO performances VALUES ('PF000053', '2022-08-20', '17:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000054', '2022-08-20', '18:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000055', '2022-08-20', '18:00', 'GP008', 'SC001');
INSERT INTO performances VALUES ('PF000056', '2022-08-20', '18:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000057', '2022-08-20', '18:00', 'GP003', 'SC002');
INSERT INTO performances VALUES ('PF000058', '2022-08-20', '18:00', 'GP005', 'SC003');
INSERT INTO performances VALUES ('PF000059', '2022-08-20', '18:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000060', '2022-08-20', '18:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000061', '2022-08-20', '18:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000062', '2022-08-21', '10:00', 'GP005', 'SC005');
INSERT INTO performances VALUES ('PF000063', '2022-08-21', '10:00', 'GP004', 'SC006');
INSERT INTO performances VALUES ('PF000064', '2022-08-21', '10:00', 'GP004', 'SC007');
INSERT INTO performances VALUES ('PF000065', '2022-08-21', '10:00', 'GP004', 'SC008');
INSERT INTO performances VALUES ('PF000066', '2022-08-21', '10:00', 'GP008', 'SC009');
INSERT INTO performances VALUES ('PF000067', '2022-08-21', '10:00', 'GP004', 'SC010');
INSERT INTO performances VALUES ('PF000068', '2022-08-21', '10:00', 'GP002', 'SC011');
INSERT INTO performances VALUES ('PF000069', '2022-08-21', '11:00', 'GP001', 'SC005');
INSERT INTO performances VALUES ('PF000070', '2022-08-21', '11:00', 'GP007', 'SC006');
INSERT INTO performances VALUES ('PF000071', '2022-08-21', '11:00', 'GP007', 'SC007');
INSERT INTO performances VALUES ('PF000072', '2022-08-21', '11:00', 'GP003', 'SC008');
INSERT INTO performances VALUES ('PF000073', '2022-08-21', '11:00', 'GP004', 'SC009');
INSERT INTO performances VALUES ('PF000074', '2022-08-21', '11:00', 'GP003', 'SC010');
INSERT INTO performances VALUES ('PF000075', '2022-08-21', '11:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000076', '2022-08-21', '12:00', 'GP006', 'SC005');
INSERT INTO performances VALUES ('PF000077', '2022-08-21', '12:00', 'GP004', 'SC006');
INSERT INTO performances VALUES ('PF000078', '2022-08-21', '12:00', 'GP003', 'SC007');
INSERT INTO performances VALUES ('PF000079', '2022-08-21', '12:00', 'GP008', 'SC008');
INSERT INTO performances VALUES ('PF000080', '2022-08-21', '12:00', 'GP002', 'SC009');
INSERT INTO performances VALUES ('PF000081', '2022-08-21', '12:00', 'GP004', 'SC010');
INSERT INTO performances VALUES ('PF000082', '2022-08-21', '12:00', 'GP001', 'SC011');
INSERT INTO performances VALUES ('PF000083', '2022-08-21', '15:00', 'GP002', 'SC005');
INSERT INTO performances VALUES ('PF000084', '2022-08-21', '15:00', 'GP008', 'SC006');
INSERT INTO performances VALUES ('PF000085', '2022-08-21', '15:00', 'GP001', 'SC007');
INSERT INTO performances VALUES ('PF000086', '2022-08-21', '15:00', 'GP006', 'SC008');
INSERT INTO performances VALUES ('PF000087', '2022-08-21', '15:00', 'GP003', 'SC009');
INSERT INTO performances VALUES ('PF000088', '2022-08-21', '15:00', 'GP002', 'SC010');
INSERT INTO performances VALUES ('PF000089', '2022-08-21', '15:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000090', '2022-08-21', '16:00', 'GP007', 'SC005');
INSERT INTO performances VALUES ('PF000091', '2022-08-21', '16:00', 'GP004', 'SC006');
INSERT INTO performances VALUES ('PF000092', '2022-08-21', '16:00', 'GP003', 'SC007');
INSERT INTO performances VALUES ('PF000093', '2022-08-21', '16:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000094', '2022-08-21', '16:00', 'GP004', 'SC009');
INSERT INTO performances VALUES ('PF000095', '2022-08-21', '16:00', 'GP008', 'SC010');
INSERT INTO performances VALUES ('PF000096', '2022-08-21', '16:00', 'GP005', 'SC011');
INSERT INTO performances VALUES ('PF000097', '2022-08-21', '17:00', 'GP003', 'SC005');
INSERT INTO performances VALUES ('PF000098', '2022-08-21', '17:00', 'GP007', 'SC006');
INSERT INTO performances VALUES ('PF000099', '2022-08-21', '17:00', 'GP007', 'SC007');
INSERT INTO performances VALUES ('PF000100', '2022-08-21', '17:00', 'GP005', 'SC008');
INSERT INTO performances VALUES ('PF000101', '2022-08-21', '17:00', 'GP002', 'SC009');
INSERT INTO performances VALUES ('PF000102', '2022-08-21', '17:00', 'GP003', 'SC010');
INSERT INTO performances VALUES ('PF000103', '2022-08-21', '17:00', 'GP008', 'SC011');
INSERT INTO performances VALUES ('PF000104', '2022-08-21', '18:00', 'GP008', 'SC005');
INSERT INTO performances VALUES ('PF000105', '2022-08-21', '18:00', 'GP007', 'SC006');
INSERT INTO performances VALUES ('PF000106', '2022-08-21', '18:00', 'GP004', 'SC007');
INSERT INTO performances VALUES ('PF000107', '2022-08-21', '18:00', 'GP002', 'SC008');
INSERT INTO performances VALUES ('PF000108', '2022-08-21', '18:00', 'GP007', 'SC009');
INSERT INTO performances VALUES ('PF000109', '2022-08-21', '18:00', 'GP004', 'SC010');
INSERT INTO performances VALUES ('PF000110', '2022-08-21', '18:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000111', '2023-08-20', '10:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000112', '2023-08-20', '10:00', 'GP005', 'SC001');
INSERT INTO performances VALUES ('PF000113', '2023-08-20', '10:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000114', '2023-08-20', '10:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000115', '2023-08-20', '10:00', 'GP002', 'SC003');
INSERT INTO performances VALUES ('PF000116', '2023-08-20', '10:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000117', '2023-08-20', '10:00', 'GP008', 'SC004');
INSERT INTO performances VALUES ('PF000118', '2023-08-20', '11:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000119', '2023-08-20', '11:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000120', '2023-08-20', '11:00', 'GP001', 'SC003');
INSERT INTO performances VALUES ('PF000121', '2023-08-20', '11:00', 'GP005', 'SC003');
INSERT INTO performances VALUES ('PF000122', '2023-08-20', '11:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000123', '2023-08-20', '11:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000124', '2023-08-20', '11:00', 'GP005', 'SC004');
INSERT INTO performances VALUES ('PF000125', '2023-08-20', '12:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000126', '2023-08-20', '12:00', 'GP004', 'SC001');
INSERT INTO performances VALUES ('PF000127', '2023-08-20', '12:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000128', '2023-08-20', '12:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000129', '2023-08-20', '12:00', 'GP003', 'SC002');
INSERT INTO performances VALUES ('PF000130', '2023-08-20', '12:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000131', '2023-08-20', '12:00', 'GP001', 'SC003');
INSERT INTO performances VALUES ('PF000132', '2023-08-20', '12:00', 'GP008', 'SC004');
INSERT INTO performances VALUES ('PF000133', '2023-08-20', '12:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000134', '2023-08-20', '12:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000135', '2023-08-20', '15:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000136', '2023-08-20', '15:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000137', '2023-08-20', '15:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000138', '2023-08-20', '15:00', 'GP006', 'SC003');
INSERT INTO performances VALUES ('PF000139', '2023-08-20', '15:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000140', '2023-08-20', '15:00', 'GP005', 'SC004');
INSERT INTO performances VALUES ('PF000141', '2023-08-20', '16:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000142', '2023-08-20', '16:00', 'GP001', 'SC002');
INSERT INTO performances VALUES ('PF000143', '2023-08-20', '16:00', 'GP006', 'SC003');
INSERT INTO performances VALUES ('PF000144', '2023-08-20', '16:00', 'GP006', 'SC004');
INSERT INTO performances VALUES ('PF000145', '2023-08-20', '16:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000146', '2023-08-20', '17:00', 'GP001', 'SC001');
INSERT INTO performances VALUES ('PF000147', '2023-08-20', '17:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000148', '2023-08-20', '17:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000149', '2023-08-20', '17:00', 'GP002', 'SC002');
INSERT INTO performances VALUES ('PF000150', '2023-08-20', '17:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000151', '2023-08-20', '17:00', 'GP006', 'SC002');
INSERT INTO performances VALUES ('PF000152', '2023-08-20', '17:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000153', '2023-08-20', '17:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000154', '2023-08-20', '17:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000155', '2023-08-20', '18:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000156', '2023-08-20', '18:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000157', '2023-08-20', '18:00', 'GP003', 'SC002');
INSERT INTO performances VALUES ('PF000158', '2023-08-20', '18:00', 'GP002', 'SC003');
INSERT INTO performances VALUES ('PF000159', '2023-08-20', '18:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000160', '2023-08-20', '18:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000161', '2023-08-20', '18:00', 'GP007', 'SC004');
